,X,log2FoldChange,AveExpr,t,pvalue,padj,B
162,PDCD1,1.584855665,1.041933208,4.321364726,0.000467515,0.026,0.0453
163,APOD,1.802006227,5.069805927,4.302963765,0.000486352,0.02631954,-0.157304882
164,PLXNA4,1.238540475,4.684787593,4.289952147,0.000500134,0.0267,-0.163
165,ECM2,1.223856373,4.513702216,4.28906864,0.000501084,0.026676564,-0.151830153
166,ZNF831,1.348073669,3.468201953,4.278666623,0.000512408,0.0269,-0.0696
167,HR,1.810802423,2.114496083,4.26630612,0.000526202,0.026957619,-0.016736749
168,SERPINF1,1.549118472,7.137781402,4.261941649,0.000531162,0.0271,-0.213
169,IGKV1-12,4.81969366,3.09663085,4.246650314,0.000548916,0.027692749,-0.100763782
170,IL13RA2,2.90886724,1.373381747,4.235863697,0.000561801,0.028038818,-0.08961274
171,IGHV3-20,2.296705067,1.080672035,4.213761714,0.000589165,0.028862902,-0.149691626
172,SLC28A3,1.656227892,2.134114326,4.194995111,0.000613457,0.0294,-0.156
173,FCGR2C,1.113318096,4.546820488,4.193944539,0.000614847,0.02940236,-0.353383489
174,GNAO1,1.693648766,1.891868228,4.193096119,0.000615971,0.02940236,-0.158440628
175,EDA2R,1.494488332,2.448478713,4.177685842,0.00063676,0.030160711,-0.199197851
176,PROM2,1.711542316,4.229546548,4.17013165,0.000647209,0.0304,-0.374
177,RP11-712B9.6,1.628556626,-0.416822394,4.165741279,0.000653361,0.030637214,-0.454602073
178,CCL5,1.20528412,4.602424975,4.162598554,0.000657801,0.0307,-0.423
179,IGHV4-61,4.578066683,2.152056739,4.160756993,0.000660417,0.030735822,-0.223805374
180,CLDN2,2.222572391,1.695015068,4.154990949,0.000668676,0.030965363,-0.233439053
181,SLAMF6,1.048975117,3.016109324,4.14596793,0.00068181,0.0314,-0.298
182,IGKJ4,2.46414781,0.120279732,4.095637773,0.000760001,0.0334,-0.474
183,IGHA2,2.410243286,6.92925883,4.08097878,0.000784435,0.0341,-0.603
184,KCNMA1,1.082846037,4.688992952,4.070727209,0.000801991,0.034375744,-0.622510875
185,CH17-60O17.5,3.758040868,1.632099661,4.063923607,0.000813861,0.034590961,-0.409110573
186,TUBB2B,1.498862236,1.182135236,4.060076263,0.000820652,0.034800126,-0.429353495
187,IGKV2-28,4.136995047,3.908761508,4.056693348,0.00082667,0.034975654,-0.575805767
188,B3GNT3,2.474740757,1.418140448,4.033851962,0.000868486,0.036050082,-0.470165152
189,AMPD1,2.556220684,0.071794798,4.031104431,0.000873657,0.0361,-0.593
190,CDH2,1.503527545,1.937548775,4.029428217,0.000876827,0.036060913,-0.476903953
191,IGLV4-69,2.654971843,0.998279927,4.025121253,0.000885026,0.036131888,-0.504806486
192,SLN,2.468138408,-0.478633815,4.022218502,0.000890596,0.036278632,-0.702783664
193,PDE4B,1.191774998,5.818759513,4.013076236,0.000908369,0.03668156,-0.781301267
194,PTTG4P,1.440938411,-0.231290885,4.006607715,0.00092116,0.037117555,-0.683203625
195,SCARA5,1.392275093,5.294570179,3.977814598,0.000980332,0.03873604,-0.849094746
196,ZNF385D,1.276437741,3.4351494,3.971933529,0.000992881,0.0387,-0.696
197,SERPIND1,1.350223804,2.23800436,3.968292121,0.001000732,0.038892763,-0.60542606
198,IGLV10-54,2.621885177,0.826149696,3.965643318,0.001006483,0.039,-0.626
199,FER1L4,1.678877827,3.261270686,3.941540554,0.001060358,0.04,-0.739
200,PLCH2,1.846580323,3.134408941,3.941515316,0.001060416,0.04,-0.725
201,CH17-212P11.4,3.031885996,-0.036103887,3.940620964,0.00106247,0.04,-0.764
202,FOXC1,1.309310956,3.040737475,3.934138061,0.00107748,0.0404,-0.731
203,CH17-224D4.1,3.55244688,0.950746889,3.930444788,0.001086126,0.0404,-0.683
204,IGHV4-34,3.279575102,2.679525666,3.920457843,0.001109857,0.040836774,-0.726615409
205,FBXO32,1.360735971,4.572468898,3.919614334,0.001111885,0.040836774,-0.930225618
206,GLT8D2,1.003198154,3.51086741,3.91858366,0.001114368,0.0408,-0.815
207,PPFIA2,1.098128742,2.338106313,3.900059007,0.001159961,0.042,-0.745
208,IGHV3-72,2.237590898,1.09392468,3.895479701,0.001171518,0.042102276,-0.74132303
209,IGLV8-61,3.380346284,1.654952713,3.889947387,0.001185634,0.042146832,-0.744045278
210,HOXC4,1.475653881,0.17897972,3.881570533,0.001207334,0.042445366,-0.83868322
211,SLAMF7,1.232649847,3.881765185,3.87730649,0.001218533,0.0426,-0.945
212,BRSK1,1.378366759,0.936132013,3.868505024,0.00124198,0.0429,-0.798
213,CCL3L3,2.44734856,-0.014801588,3.868324188,0.001242466,0.042920846,-0.885979679
214,HPSE2,2.011595523,2.118227497,3.867027301,0.001245961,0.043,-0.8
215,RP11-55J15.2,1.988391342,-0.310148095,3.866137874,0.001248363,0.042956602,-0.932472673
216,EYA2,1.877531235,2.447174179,3.862246998,0.001258926,0.043081188,-0.826903649
217,CD28,1.146275878,2.720068997,3.859590242,0.00126619,0.0432,-0.852
218,UPK1B,2.303349384,1.252486324,3.857948423,0.0012707,0.043245628,-0.807250173
219,COL24A1,1.300974569,3.015579602,3.853726908,0.001282371,0.0435,-0.892
220,UBD,2.606465307,2.582737197,3.838499921,0.001325369,0.044,-0.884
221,MT-CO3,1.092198803,9.479954039,3.838226217,0.001326155,0.044,-0.975
222,TMEM59L,2.117907493,0.363399658,3.826620825,0.001359916,0.044624323,-0.91614325
223,CTLA4,1.853054382,1.519221527,3.82643359,0.001360468,0.044624323,-0.865304846
224,S100B,1.347471437,1.62133901,3.823606004,0.001368826,0.0446,-0.872
225,IGHV2-26,2.791836564,1.231118347,3.808234297,0.001415177,0.04565845,-0.901547025
226,TWIST1,2.818047052,-0.156999352,3.798938919,0.001443965,0.0463,-1.02
227,CDKN2A,1.408039397,1.363457959,3.792260221,0.001465011,0.046779841,-0.930496813
228,TFAP2A,1.887221502,1.429226519,3.786145397,0.00148455,0.047,-0.942
229,SERPINB5,2.885955613,1.322749552,3.780316251,0.001503419,0.047359177,-0.953395263
230,CD8A,1.27891303,2.890316674,3.77950915,0.00150605,0.0474,-1.03
231,APOBEC3H,1.336697175,0.162880814,3.77783329,0.001511529,0.0474,-1.02
232,MEOX1,1.757223379,1.137817069,3.777830344,0.001511539,0.047371724,-0.960570223
233,SPAG4,1.076766786,2.07315491,3.776382942,0.001516287,0.0474,-0.977
234,TMPRSS4,1.682213855,4.46297193,3.747988326,0.00161251,0.049210636,-1.279555782
235,TP63,1.925616374,3.283871108,3.745097464,0.001622643,0.0493,-1.14
236,TNIP3,1.415060271,3.381841188,3.744511741,0.001624704,0.049269541,-1.156678397
237,CD24,1.470452456,6.346323322,3.739056059,0.001644026,0.0493,-1.35
238,FUT2,1.430636506,2.947932781,3.736811758,0.001652041,0.049365001,-1.121831795
239,WT1,2.489459155,1.268750527,3.71727095,0.0017235,0.050606741,-1.073198076
240,GREM1,1.02176521,4.884752264,3.710431177,0.001749236,0.0509,-1.39
241,ITIH5,1.065470415,5.938292475,3.704765921,0.001770844,0.051348947,-1.429029789
242,IGSF9B,1.478299472,2.803561318,3.681500176,0.001862414,0.0525,-1.22
243,SCG5,1.578558373,0.543770652,3.673735374,0.001894016,0.052963541,-1.176709668
244,JCHAIN,2.234430148,7.659618903,3.670518861,0.001907264,0.053033726,-1.421505425
245,CARMIL2,1.087746512,2.002639698,3.665881003,0.001926528,0.0532,-1.19
246,CNTN3,1.241720697,2.820610167,3.655297552,0.00197122,0.053851655,-1.273376304
247,PHYHIP,1.422254246,1.84867379,3.654690044,0.001973816,0.053851655,-1.205159747
248,PRDM8,1.284209164,2.10559274,3.654236628,0.001975756,0.053851655,-1.218555387
249,GPR171,1.458135334,1.881658927,3.648129905,0.002002073,0.0542,-1.22
250,DPEP1,1.990712223,0.669671659,3.646782112,0.002007929,0.0542,-1.22
251,SORCS2,1.033658434,4.292341463,3.64649185,0.002009192,0.054207419,-1.473643782
252,MMP13,2.676945675,1.285563515,3.643491485,0.002022296,0.0544,-1.21
253,WHRN,1.169150986,3.154151836,3.638365717,0.002044881,0.054586785,-1.345374727
254,ADAMTS14,1.632446495,2.448971491,3.63631948,0.002053968,0.0546,-1.28
255,PKP2,1.372902427,3.679076055,3.635973501,0.002055508,0.0546,-1.42
256,CFB,1.63711927,6.411411526,3.630442572,0.002080288,0.055009444,-1.572202176
257,CNN1,1.237527493,4.746624087,3.622595705,0.002115957,0.055557584,-1.566249826
258,CTD-2583A14.11,1.01859464,1.105973677,3.621299404,0.002121908,0.055557584,-1.254926786
259,BNC1,2.354909507,1.741253491,3.611119625,0.002169224,0.056086502,-1.285511016
260,TNS4,2.290321006,3.276423415,3.594961668,0.002246497,0.057333504,-1.449254428
261,FAIM2,1.31250745,1.889842911,3.591423435,0.002263781,0.057414905,-1.33026497
262,GFRA1,1.40665157,4.319981216,3.5887973,0.002276695,0.0576,-1.6
263,MEDAG,2.479117665,4.323560863,3.587580322,0.002282704,0.0577,-1.6
264,TPBG,1.035024377,4.060350311,3.576691603,0.002337179,0.058335871,-1.591218756
265,CTSK,1.673272027,5.347990637,3.576321832,0.002339052,0.0583,-1.69
266,FCMR,1.189806939,2.617217776,3.573611762,0.002352821,0.0585,-1.42
267,CLEC4G,1.592592225,0.448275434,3.570388328,0.002369304,0.058782927,-1.36849626
268,CCR7,1.068604132,2.307081678,3.569365652,0.002374557,0.0588,-1.4
269,MDK,1.520622807,3.716379993,3.562567763,0.002409773,0.059,-1.58
270,SLC4A7,1.062250877,5.956957058,3.561521989,0.002415237,0.059005318,-1.729053703
271,IGDCC4,1.541213033,2.187225431,3.550235159,0.002474994,0.059681988,-1.428419725
272,CCL11,1.473158905,0.591929123,3.542664976,0.002515896,0.060277898,-1.411895268
273,CXCR4,1.199129619,5.507715432,3.539548474,0.00253293,0.060452591,-1.774828637
274,DOK5,1.288017143,0.648161034,3.53393591,0.002563895,0.060760573,-1.425730777
275,SFRP4,1.244548081,4.397445469,3.533661793,0.002565417,0.060760573,-1.719797511
276,FABP3,1.381598331,3.37213639,3.520929286,0.002637111,0.061673935,-1.613112394
277,CPNE7,1.261173471,0.88887033,3.514160965,0.002676029,0.062349125,-1.456578322
278,LIME1,1.030870208,2.421927472,3.509293695,0.002704368,0.062360458,-1.527660619
279,HAS1,2.987602824,2.370645828,3.502614708,0.002743742,0.062748778,-1.536519566
280,IGKV3D-15,3.255354822,-0.594465209,3.499380053,0.002763016,0.063,-1.58
281,TNFSF8,1.002609595,2.953411523,3.492674016,0.002803402,0.063105362,-1.616291168
282,IGHGP,2.182982707,-0.069511394,3.489045939,0.002825496,0.0634,-1.55
283,PDK4,1.597776076,6.970551377,3.484693693,0.002852228,0.063548881,-1.848494787
284,COLEC11,1.165952376,1.944655036,3.484499471,0.002853427,0.0635,-1.54
285,FOXP3,1.203978626,0.576188347,3.48333,0.002860655,0.0635,-1.52
286,OR2I1P,2.921888123,0.0339806,3.47633057,0.002904302,0.0643,-1.56
287,IGKJ1,2.09477178,-0.052145412,3.474856993,0.002913575,0.0644,-1.57
288,FGF14,1.077932935,4.02910094,3.473320848,0.002923273,0.0645,-1.8
289,AC233755.1,3.383967211,0.205299428,3.47089579,0.002938648,0.0647,-1.56
290,OMD,1.044595408,2.744604868,3.459775613,0.003010184,0.0657,-1.66
291,HLA-DOB,1.033131024,1.933025985,3.450377974,0.003071985,0.0667,-1.61
292,TRPA1,1.133635338,1.835577247,3.44715278,0.003093483,0.0669,-1.61
293,BIRC3,1.101132863,6.339966145,3.438514425,0.003151802,0.0676,-1.98
294,RP11-611O2.3,1.157249042,2.876670829,3.427831472,0.003225435,0.067911683,-1.737577577
