,log2FoldChange,AveExpr,t,pvalue,padj,B
PLEKHD1,0.46555512,3.249857634,1.517443479,0.147611249,0.419853691,-5.20897193
ZNF880,0.279927412,3.925323567,1.51743256,0.147613986,4.20E-01,-5.34E+00
TPTEP1,0.400273781,5.130522239,1.517188712,0.147675113,4.20E-01,-5.49E+00
STRN3,0.227378811,5.745854225,1.517157537,0.147682929,4.20E-01,-5.51E+00
ECHDC2,0.267688919,5.520766708,1.516838247,0.147763003,4.20E-01,-5.51E+00
RPA4,0.436449528,0.802509596,1.516767347,0.147780789,4.20E-01,-4.77E+00
TRAF3IP1,0.40997296,4.625316286,1.51622549,0.147916776,4.20E-01,-5.45E+00
RP1-130L23.1,0.649689126,1.604053349,1.516184641,0.147927031,0.420116368,-4.903414671
KNOP1P2,0.546283674,0.414645519,1.515833371,0.148015249,4.20E-01,-4.71E+00
EPPIN,0.475087355,4.292259152,1.515655445,0.148059949,0.420116368,-5.406814141
EPB41L3,0.199802124,6.34531169,1.515596053,0.148074873,4.20E-01,-5.49E+00
PHACTR4,0.154033148,5.68099546,1.515591162,0.148076102,0.420116368,-5.509407409
PPIAL4G,0.574008769,3.461326539,1.515078987,0.148204851,0.420116368,-5.25598318
RP11-762H8.2,0.38181843,1.805753099,1.51505667,0.148210463,0.420116368,-4.93880639
DDI1,0.932020346,-0.473367862,1.51502707,0.148217907,0.420116368,-4.600892264
SKA1,0.428667576,3.106263711,1.515019271,0.148219869,4.20E-01,-5.18E+00
TERF2,0.179373574,4.445358646,1.514713603,0.148296758,0.420238474,-5.429633634
RAB3B,0.373424087,4.202853445,1.514527949,0.148343474,4.20E-01,-5.39E+00
COL6A3,0.724646777,9.946517941,1.514438751,0.148365923,4.20E-01,-5.22E+00
EFCAB5,0.337667273,3.327578337,1.514393178,0.148377394,4.20E-01,-5.23E+00
CYP11B1,1.142714175,0.080726799,1.514385939,0.148379216,4.20E-01,-4.67E+00
GOLGA6L6,1.886888582,-0.260284203,1.514273571,0.148407503,4.20E-01,-4.63E+00
RGS17P1,0.403174455,0.717928016,1.514189222,0.14842874,4.20E-01,-4.76E+00
SGCB,0.248109964,5.222615604,1.513582149,0.148581657,4.21E-01,-5.50E+00
FP325317.1,0.74446992,0.14095465,1.513071867,0.148710295,4.21E-01,-4.68E+00
SLC22A25,0.454884412,4.237030348,1.512918388,0.148749004,0.420837607,-5.402301034
PRRT2,0.601856498,2.521479375,1.512788855,0.148781679,4.21E-01,-5.07E+00
TRIM6,0.392855132,2.666398202,1.512688842,0.148806913,0.420873517,-5.096571169
EFCAB10,0.725611154,2.949135621,1.512506061,0.148853038,4.21E-01,-5.15E+00
HCLS1,0.408046998,6.273419579,1.512357507,0.148890534,0.420918176,-5.502346696
KRT17P1,0.978431968,-0.044227798,1.512245535,0.148918802,0.420934167,-4.655460127
FAM129C,0.430203544,3.959060141,1.511585271,0.149085581,4.21E-01,-5.36E+00
EFCAB13,0.287399742,3.955483773,1.511125896,0.149201708,4.21E-01,-5.36E+00
TDRD5,0.850610289,-0.300074038,1.510997108,0.149234279,4.21E-01,-4.63E+00
SLC17A9,0.322531254,3.218249817,1.510967123,0.149241863,4.21E-01,-5.21E+00
EHF,0.628355693,6.073193567,1.510216139,0.149431911,4.22E-01,-5.51E+00
TNXB,0.508180551,8.493638451,1.50954787,0.149601197,0.421836119,-5.346675023
CA5A,0.504119261,4.029029436,1.509535689,0.149604284,0.421836119,-5.372794319
RAC2,0.450546932,5.031150316,1.509284879,0.149667861,0.421836119,-5.495012362
SETD2,0.173460571,7.273126247,1.509229066,0.149682012,0.421836119,-5.4425293
CNGB1,0.599591858,2.431922138,1.509178517,0.149694829,4.22E-01,-5.06E+00
CGREF1,0.629626755,1.146851224,1.508997317,0.149740782,0.421836119,-4.835615438
CYP4F8,0.634228319,2.758301845,1.508876539,0.149771418,0.421836119,-5.119851072
SLC30A7,0.255627425,6.191565617,1.508841712,0.149780253,0.421836119,-5.510343742
RP11-93O17.2,0.950910597,0.327347649,1.508835877,0.149781733,4.22E-01,-4.71E+00
NDE1,0.209694859,4.649941618,1.50856254,0.14985109,0.421932136,-5.462759885
BMP2K,0.320811832,6.403671675,1.508026492,0.149987186,0.422085758,-5.502461731
LCN12,0.606572796,0.578843045,1.507762147,0.150054337,0.422085758,-4.746840808
ELL3,0.511006841,1.532171469,1.507522483,0.15011524,0.422085758,-4.902621473
LDHAL6A,0.450814571,1.818383507,1.507332973,0.150163413,0.422093018,-4.95109695
ADH1C,0.571503854,2.037221529,1.506863255,0.150282869,0.422230939,-4.988873601
FCHSD1,0.219742377,4.768418399,1.506794043,0.150300478,0.422230939,-5.477280816
DDR2,0.338447817,6.883674554,1.506341386,0.150415681,0.422406212,-5.475378827
GLI2,0.400040909,3.195999123,1.506310447,0.150423558,0.422406212,-5.212898646
ATP5HP4,0.314709458,1.682838204,1.506253854,0.150437967,0.422406212,-4.929704514
HAVCR1,0.458278379,0.422214195,1.506063647,0.150486403,4.22E-01,-4.73E+00
HS3ST2,0.538410567,3.380565851,1.505825753,0.150547001,0.422445281,-5.251966483
TMC3,0.460467686,2.98567971,1.50552498,0.150623645,0.422445281,-5.170393759
KLHL33,0.662143837,2.926782634,1.505486624,0.150633421,4.22E-01,-5.16E+00
SRD5A1,0.398265444,6.458306502,1.505306619,0.150679309,4.22E-01,-5.50E+00
ZNF706,0.228838731,4.55794002,1.505208351,0.150704365,0.422459996,-5.456960862
ZNF671,0.294716622,3.259000845,1.505199002,0.150706749,4.22E-01,-5.23E+00
KPNA5,0.382531771,7.572557415,1.504908887,0.150780742,0.422580293,-5.425489408
IGLV9-49,1.246861074,0.033908918,1.50485275,0.150795063,4.23E-01,-4.67E+00
FUCA1,0.509916184,5.50233956,1.504013872,0.151009202,0.422989363,-5.523052953
KCNG2,0.541985909,0.905707356,1.503892178,0.151040288,0.423012788,-4.802528632
INTS4P1,0.464969265,2.02124566,1.503574504,0.15112146,0.423176459,-4.990470355
APLF,0.224463685,4.15553096,1.503287567,0.15119481,0.4233166,-5.402562645
CNTNAP4,1.499676003,-0.521094112,1.503150062,0.15122997,4.23E-01,-4.61E+00
SPOCK1,0.677752074,2.519988157,1.503074124,0.151249391,4.23E-01,-5.08E+00
MFSD14C,0.272585804,3.966716733,1.503023013,0.151262464,4.23E-01,-5.37E+00
PRSS27,0.482245592,2.462165931,1.50284139,0.151308924,4.23E-01,-5.07E+00
C1QTNF9,0.705956576,1.673145585,1.502810215,0.1513169,4.23E-01,-4.93E+00
NEFL,0.869614186,-0.522107888,1.502254069,0.151459247,0.423676234,-4.610532979
CCDC129,0.66540255,2.597626369,1.501546696,0.151640461,4.24E-01,-5.10E+00
CST7,0.737870031,2.844227239,1.501393587,0.151679708,0.424038059,-5.14714629
NT5C1B,0.45086143,1.574532361,1.501190416,0.1517318,0.424119999,-4.918025992
NPHP1,0.486550367,4.453883092,1.500883447,0.151810535,0.424189018,-5.449767604
A1BG,0.266519284,4.019672919,1.500827645,0.151824851,0.424189018,-5.383080622
GP2,0.71060546,1.344365421,1.500609197,0.151880906,4.24E-01,-4.88E+00
RNPC3,0.239917412,5.082416425,1.500423291,0.151928623,4.24E-01,-5.51E+00
RP11-368M16.3,0.843255582,0.420612962,1.499833199,0.152080169,0.424647431,-4.733517694
SYT10,1.257506922,-0.403745621,1.499668319,0.152122535,4.25E-01,-4.63E+00
BEND6,0.426381615,3.589436545,1.499644189,0.152128736,4.25E-01,-5.30E+00
AHI1,0.212404212,5.885370029,1.49875887,0.152356397,0.425163645,-5.531769356
PKDREJ,0.754214941,0.893500659,1.498311941,0.152471432,0.425293404,-4.807641935
APOE,0.686741116,8.081702957,1.497738838,0.152619049,4.26E-01,-5.40E+00
FAM90A1,0.622429207,0.469449423,1.497322792,0.152726286,4.26E-01,-4.74E+00
NAV3,0.303764571,5.895770981,1.497311138,0.152729291,0.425597293,-5.533622283
FBXO36,0.430121642,3.174822451,1.497226721,0.152751057,0.425597293,-5.220745588
FXYD2,0.633062032,1.382985425,1.497179346,0.152763274,0.425597293,-4.8907285
DCDC2B,0.774545487,2.426234738,1.496774362,0.152867741,0.42582461,-5.071820908
CDH23,0.291805569,5.164681106,1.496059094,0.153052391,0.426211416,-5.521239801
RCN1P2,0.425501395,0.760760176,1.495787424,0.153122573,4.26E-01,-4.79E+00
AC005086.2,1.096665545,-0.586150014,1.495695995,0.153146198,4.26E-01,-4.61E+00
FRMD6,0.344369061,5.087363869,1.495649115,0.153158313,4.26E-01,-5.52E+00
MARK4,0.23871939,4.512537576,1.495597064,0.153171765,0.426225049,-5.464555745
OLFML3,0.295701685,5.360678123,1.495436841,0.15321318,0.426269904,-5.530847905
C20ORF144,0.489050783,1.155653174,1.495248402,0.1532619,4.26E-01,-4.85E+00
TAS2R30,0.320283905,2.914048999,1.495131555,0.153292116,0.426305054,-5.169709472
TMEM198B,0.33363476,3.857731897,1.494940841,0.153341445,0.426378542,-5.361829503
CCDC71L,0.673493703,4.828571791,1.494542036,0.15344464,0.426601766,-5.499579918
RPS9P1,0.698225382,-0.230026567,1.494170805,0.153540752,0.426602242,-4.654215805
RP3-499B10.3,0.990928424,0.27895071,1.493964815,0.153594105,0.426602242,-4.720708896
BEND2,0.622414224,1.098250406,1.493940514,0.1536004,0.426602242,-4.846780507
ATP11C,0.285121617,5.243028226,1.49388833,0.153613919,4.27E-01,-5.53E+00
RPS12P5,0.493372871,0.351656081,1.493746022,0.15365079,4.27E-01,-4.73E+00
FSTL4,0.439328087,2.891127149,1.493704521,0.153661544,0.426602242,-5.166956616
NXPE4,0.822186297,-0.508027247,1.493479741,0.153719802,0.426602242,-4.622431785
HMGN5,0.483005963,2.801339045,1.492861195,0.15388021,4.27E-01,-5.15E+00
RGPD2,0.829987286,3.511076083,1.492583615,0.15395224,4.27E-01,-5.30E+00
MORC4,0.449763151,7.442199399,1.49224866,0.154039195,0.427212777,-5.452844163
ADH4,0.562575356,3.768168248,1.492189557,0.154054543,0.427212777,-5.348527599
LRRC37A4P,0.549960738,6.039082885,1.492051792,0.154090322,4.27E-01,-5.54E+00
SLC46A3,0.319587385,4.017935821,1.491274048,0.15429244,4.27E-01,-5.40E+00
SLC5A1,0.376355008,3.103973884,1.49111664,0.154333373,4.27E-01,-5.21E+00
B3GNTL1,0.37314509,3.463689643,1.491080904,0.154342667,0.427491701,-5.289058055
CAMK1G,0.670135805,0.74063035,1.490905337,0.154388336,4.27E-01,-4.79E+00
CCDC113,0.942475281,4.38250555,1.490830812,0.154407724,4.27E-01,-5.45E+00
BRDT,0.609739703,0.541434634,1.489828705,0.154668634,0.42803846,-4.763635014
ADGRF2,0.967849382,0.947205516,1.489143126,0.154847342,0.42826298,-4.827934231
SOX4,0.258971322,6.122371641,1.488802927,0.154936084,0.428404385,-5.540171516
BMS1P7,1.649341703,0.149181323,1.488770691,0.154944495,4.28E-01,-4.71E+00
SLC13A5,0.611280641,2.396002625,1.488281297,0.155072236,0.428504966,-5.077426421
SULT1B1,0.420805876,6.98499202,1.488278577,0.155072946,4.29E-01,-5.49E+00
GGT6,0.454112878,3.482467855,1.48811439,0.155115821,4.29E-01,-5.30E+00
KLKP1,0.46579721,1.425725701,1.487970693,0.155153354,0.428599915,-4.909840912
AC009060.1,0.411670533,3.287655785,1.487228641,0.155347292,4.29E-01,-5.26E+00
CXCL1,1.300359107,4.275936525,1.486929995,0.1554254,0.428972305,-5.443731739
KLK14,0.826067159,-0.277687746,1.486460744,0.155548196,4.29E-01,-4.66E+00
CCL8,0.787248433,1.260021026,1.485425074,0.155819497,0.429484122,-4.884895033
CECR1,0.423408732,6.037093404,1.485072327,0.155911991,4.30E-01,-5.55E+00
MAN1A2,0.269957283,6.791095305,1.484873124,0.155964245,0.429544943,-5.511204432
EXOC4,0.166184945,6.53394646,1.484675712,0.156016042,0.429544943,-5.527584805
UBXN2B,0.269491155,5.283051917,1.484648986,0.156023056,0.429544943,-5.542568214
RP11-849F2.7,0.867689572,-0.194062298,1.484416612,0.156084047,4.30E-01,-4.67E+00
C10ORF53,0.552665579,1.583707944,1.484345885,0.156102615,4.30E-01,-4.94E+00
TENM3,0.536818444,3.610750612,1.484199018,0.156141178,0.429544943,-5.328297071
MBOAT1,0.269962255,3.639238241,1.484197695,0.156141525,0.429544943,-5.334001506
ZNF189,0.226781466,4.896461182,1.484045393,0.156181523,0.429570257,-5.519704195
CEP85L,0.261157341,4.97901427,1.483811261,0.156243028,0.429570257,-5.526275939
GOLGA8K,0.549361013,1.340912265,1.48316639,0.156412534,0.429932361,-4.901547763
CCDC39,0.547512592,4.264066899,1.482850208,0.156495699,0.430074393,-5.447502856
CA3,0.987391512,4.496653172,1.482720083,0.156529937,4.30E-01,-5.48E+00
ZNF860,0.354924195,1.684724194,1.482251854,0.156653184,4.30E-01,-4.96E+00
RBMS1,0.241539073,7.046093092,1.482239602,0.15665641,0.430261984,-5.496562464
SERPINB4,1.582673626,0.084584827,1.481898363,0.156746283,0.430360352,-4.708976355
SELM,0.326320489,5.036690651,1.481589079,0.156827777,4.30E-01,-5.53E+00
MT-ND6,0.266794756,7.324134583,1.480759899,0.157046432,0.430697757,-5.477534859
PLD4,0.567390071,1.641445458,1.48058765,0.157091885,0.430722966,-4.956028418
HRK,0.705092518,1.748258397,1.480190065,0.157196843,0.430722966,-4.974658898
ZNF500,0.302511409,4.614227055,1.480124007,0.157214287,0.430722966,-5.497714719
NYAP1,0.647021745,0.087924117,1.480050694,0.157233649,4.31E-01,-4.71E+00
ENTPD3,0.374755441,2.929396001,1.479971269,0.157254627,0.430722966,-5.193076427
C14ORF178,0.372053902,0.884045842,1.479952975,0.157259459,4.31E-01,-4.83E+00
CYP1B1,0.60563397,6.305105063,1.479782461,0.157304506,0.430744655,-5.545672302
PER2,0.579390212,5.51882384,1.479709935,0.157323669,4.31E-01,-5.56E+00
ZNRD1ASP,0.26819518,4.878047679,1.479556063,0.157364332,0.430744655,-5.524295152
SH3RF3,0.413076334,4.21647154,1.479051818,0.157497647,0.430927554,-5.445346493
CD74,0.458689772,10.58095668,1.479015351,0.157507292,4.31E-01,-5.22E+00
RP11-1212A22.7,0.785426951,0.228718368,1.477933959,0.157793526,0.431415105,-4.733320892
MAST4,0.205391664,6.93336741,1.477929664,0.157794663,0.431415105,-5.510681828
DNAH1,0.469590935,6.083945536,1.477526239,0.157901556,4.31E-01,-5.56E+00
DCAF13P3,0.512801559,0.117545519,1.477434022,0.157925999,0.431472521,-4.71877183
CCL21,0.788465031,6.15469058,1.477345798,0.157949386,0.431472521,-5.554734111
RPS2P45,0.615701283,1.279735912,1.477207117,0.157986155,0.431495049,-4.898709452
GPNMB,0.710036402,7.917841416,1.476898334,0.158068048,0.431592076,-5.436909026
RP11-766F14.2,1.211971835,0.200927575,1.476571074,0.158154879,4.32E-01,-4.73E+00
DENND4A,0.253844758,6.557099414,1.47655126,0.158160138,4.32E-01,-5.54E+00
GABRA4,0.758477153,1.20559475,1.476311526,0.158223773,4.32E-01,-4.89E+00
PTGIS,0.323936886,6.162902641,1.475870705,0.15834084,4.32E-01,-5.56E+00
SLC2A5,0.562829637,4.443286684,1.47551607,0.158435071,0.432087207,-5.482931227
MROH6,0.416159704,2.491585228,1.475272841,0.158499726,0.43220022,-5.112543417
TRPC5,0.485552449,0.889911948,1.475002292,0.158571669,4.32E-01,-4.84E+00
C4ORF26,0.836016725,0.019535384,1.474720337,0.158646675,0.432410908,-4.709026546
SLC14A2,0.528612875,4.079804495,1.474624248,0.158672243,0.432417285,-5.428993881
GABBR1,0.524594056,4.555085954,1.474104778,0.158810526,0.432540857,-5.499038333
ABCA7,0.357295513,5.246458725,1.47383432,0.158882562,4.33E-01,-5.56E+00
AC006116.20,0.394509934,1.879210371,1.473593674,0.15894668,0.432721189,-5.005382462
TIAM2,0.238777734,3.817418981,1.472974824,0.159111665,4.33E-01,-5.38E+00
CCDC169,0.396512801,5.686449455,1.472960965,0.159115361,0.432874552,-5.56788933
MARCKSL1P2,0.475668907,1.444871797,1.472934553,0.159122406,0.432874552,-4.932360289
PDE6A,0.352671196,3.895256765,1.472742453,0.159173652,4.33E-01,-5.40E+00
CSAD,0.311426221,4.178306822,1.472718313,0.159180092,0.432874552,-5.447812648
ZAP70,0.448144638,3.499301532,1.472688629,0.159188012,4.33E-01,-5.32E+00
NTF3,0.842655989,0.153807694,1.47175626,0.159436946,0.433422633,-4.730525514
DCD,0.549983614,0.296199345,1.471236552,0.159575843,0.433430937,-4.750884009
ANKRD30B,0.663278013,1.66100009,1.471222136,0.159579697,0.433430937,-4.971406659
ECT2L,0.911996823,3.739473301,1.470853384,0.159678312,0.433572175,-5.371772457
SYCP3,0.363979619,2.133725761,1.470787734,0.159695874,0.433572175,-5.052962784
DPY19L2P2,0.386220181,4.939250284,1.470550687,0.159759299,0.433663893,-5.541362205
GPX8,0.44978898,4.197612617,1.470466079,0.159781942,0.433663893,-5.453956143
ADAM3A,0.509420143,0.411322205,1.470358605,0.159810709,0.43367874,-4.768448146
CNTNAP3B,0.302546033,4.959406549,1.469905342,0.159932076,0.433726406,-5.543726556
SLC47A2,0.515931569,1.933519867,1.469428041,0.160059962,0.433975568,-5.020053457
C1ORF228,0.589110257,2.548573632,1.469257212,0.160105753,0.434024282,-5.131360929
SLC35E3,0.30666202,5.99542658,1.469187073,0.160124558,4.34E-01,-5.57E+00
PHBP6,0.493001058,0.623376848,1.469050831,0.160161089,0.434060101,-4.801724493
TRDN,1.209524943,-0.076176628,1.468919375,0.160196344,0.434068941,-4.7035408
AGBL2,0.89296523,3.033369716,1.468864791,0.160210985,4.34E-01,-5.23E+00
IFNK,0.344214939,1.603963481,1.468233043,0.160380513,4.34E-01,-4.97E+00
PALLD,0.386841785,7.674125311,1.467970989,0.160450879,4.34E-01,-5.47E+00
PBX1,0.247998879,6.890852239,1.46761897,0.160545441,0.434314479,-5.527659062
PCDHGA5,0.388598445,2.435342511,1.467519643,0.160572131,4.34E-01,-5.11E+00
WNK4,0.65743801,0.997061718,1.467419643,0.160599006,0.434314479,-4.863456257
ZNF264,0.147733381,6.232444743,1.466586039,0.16082318,0.434649539,-5.566561791
FOXO1,0.422934908,5.979712902,1.466304183,0.160899036,0.434654183,-5.574391361
PDIA3P1,0.326569865,1.903218914,1.466268716,0.160908583,0.434654183,-5.018950634
PPIC,0.277860074,4.257590529,1.466198437,0.160927502,0.434654183,-5.469025892
TC2N,0.361935719,6.772732439,1.46561183,0.161085493,0.43485785,-5.538561686
TCF7,0.291939234,4.207325122,1.46528753,0.161172891,0.434947149,-5.462467424
RP11-791G16.2,0.867572896,-0.423031773,1.465145758,0.16121111,0.434947149,-4.665347727
TMC1,0.751963385,0.794491207,1.46514454,0.161211439,0.434947149,-4.833326033
DRC7,0.933547705,2.889957258,1.46513992,0.161212684,0.434947149,-5.204662977
SMC5,0.206896389,6.589242834,1.464946833,0.16126475,4.35E-01,-5.55E+00
ABCA4,0.629706997,2.088558472,1.464623449,0.161351981,0.435196823,-5.053047749
OR7E162P,0.545649681,0.196216588,1.464417681,0.161407506,0.435283518,-4.745181085
RNF222,0.686936366,1.05492115,1.464231488,0.161457762,4.35E-01,-4.88E+00
NIPAL1,0.454792202,2.568977458,1.464052089,0.161506197,4.35E-01,-5.14E+00
ACOT11,0.328963738,6.212613581,1.463432804,0.161673486,4.36E-01,-5.57E+00
ESRRG,0.521773523,3.189531847,1.463393013,0.161684239,0.435648672,-5.26903669
MAATS1,0.84648125,4.168592101,1.463181285,0.161741469,0.435648672,-5.45905772
SLC26A10,0.552376621,0.658391808,1.463153398,0.161749009,4.36E-01,-4.81E+00
HSPH1,0.468477266,6.795394012,1.463072109,0.161770986,4.36E-01,-5.54E+00
MFAP5,0.754542577,3.575418351,1.462772354,0.161852051,0.435787935,-5.349913491
MDM4,0.183697358,6.956455588,1.462208203,0.162004709,0.435903547,-5.530244966
CDHR4,1.106924602,3.066930687,1.462190231,0.162009574,4.36E-01,-5.25E+00
ADAM33,0.39590478,3.7116371,1.462002558,0.162060385,0.435903547,-5.378186345
RP11-56B16.2,0.420489072,1.292864355,1.46194792,0.162075181,0.435903547,-4.920289362
ZNF843,0.456632361,2.032378469,1.461879287,0.162093767,4.36E-01,-5.05E+00
GRM2,0.672674028,1.415519366,1.461615608,0.162165191,0.435903547,-4.941752974
HHIPL1,0.363064372,3.357293782,1.461360166,0.162234409,0.435903547,-5.30681733
TMEM138,0.175860267,4.237305198,1.461346169,0.162238202,0.435903547,-5.472432051
ZNF253,0.311827329,3.701780169,1.461201925,0.162277299,0.435903547,-5.377307617
SLC12A3,0.724401528,0.934693734,1.46115037,0.162291275,4.36E-01,-4.86E+00
CCDC77,0.222059991,3.440258196,1.461089287,0.162307835,0.435903547,-5.324389873
SNRPN,0.182896421,5.888811742,1.46090888,0.162356753,0.435903547,-5.583233983
C20ORF96,0.442359895,2.711223029,1.460867893,0.162367869,4.36E-01,-5.17E+00
ZCWPW2,0.405091883,1.640622495,1.46080118,0.162385962,4.36E-01,-4.98E+00
DNAH7,0.862481286,5.768605262,1.460728063,0.162405794,4.36E-01,-5.58E+00
MPP6,0.303180009,4.324949454,1.46067898,0.162419109,0.435903547,-5.486417676
C12ORF40,0.450546579,2.819684754,1.460639853,0.162429723,0.435903547,-5.196296593
CHP2,0.454703115,3.85444657,1.460603818,0.162439499,0.435903547,-5.407480879
GOLGA6L7P,0.514479298,1.173931263,1.460363754,0.162504639,4.36E-01,-4.90E+00
ZNF621,0.165597985,5.954309518,1.460307994,0.162519772,4.36E-01,-5.58E+00
ANKRD18A,0.532299923,3.024339633,1.460243505,0.162537276,0.435903547,-5.238772478
ACP6,0.199597663,4.466730412,1.46010092,0.162575983,0.435903547,-5.506765472
NUDT4,0.304872853,6.608217975,1.460089115,0.162579187,4.36E-01,-5.56E+00
CHORDC1,0.247428529,5.649459882,1.459816277,0.162653275,4.36E-01,-5.59E+00
SERPINB10,0.496753989,1.197911287,1.459794298,0.162659244,0.435943635,-4.906817435
VWA3B,1.055870873,3.800818893,1.459585499,0.162715962,0.436032871,-5.398624527
BMP8B,0.322467189,2.690045294,1.459101625,0.162847465,0.436171865,-5.17234592
FAM83C,1.060859201,-0.450441304,1.458789509,0.162932335,0.436298335,-4.669503815
SUDS3,0.185512109,5.768129098,1.458703801,0.162955647,4.36E-01,-5.59E+00
TM7SF3,0.237050169,5.713111014,1.458398101,0.163038817,0.436360885,-5.587654687
ATP2A2,0.233400034,8.061303839,1.458249328,0.163079306,0.436378376,-5.450738488
PCDHB4,0.352313572,2.247617283,1.457950269,0.16316072,0.436417906,-5.089920839
KCNK1,0.361246305,3.400866972,1.457882604,0.163179146,0.436417906,-5.320500074
SORBS2,0.319230309,5.456514181,1.45781259,0.163198212,4.36E-01,-5.58E+00
STX1B,0.533939962,1.21519891,1.457658619,0.163240149,0.436432374,-4.912448725
CYP8B1,0.501269818,1.479604667,1.457338896,0.163327261,0.436602568,-4.958151788
FAM133B,0.209140178,5.020209587,1.456966357,0.163428811,0.436737592,-5.565519032
C11ORF74,0.493459937,2.747022391,1.456748876,0.163488117,4.37E-01,-5.19E+00
RIMS1,0.717456426,3.757664633,1.456703024,0.163500623,0.436752418,-5.39420388
SPINK9,0.436403266,4.120630873,1.456187984,0.163641153,4.37E-01,-5.46E+00
PPIL4,0.255303698,5.060583451,1.455853775,0.163732396,0.436982078,-5.569710791
DRAXIN,0.510517437,2.893605467,1.455700026,0.163774385,4.37E-01,-5.22E+00
LRRC46,0.878577158,2.765469154,1.455110238,0.16393554,0.437247997,-5.192611914
MDH1B,0.694435221,3.423483534,1.455077421,0.163944511,0.437247997,-5.328904831
PRR5,0.281859769,3.101740571,1.454828425,0.164012589,4.37E-01,-5.26E+00
ZNF713,0.380587103,3.640712047,1.454720162,0.164042197,0.437383204,-5.373742124
WDR92,0.297413497,3.356407964,1.45424213,0.16417298,0.437545865,-5.316059787
TAMM41,0.230227401,3.792544281,1.454239447,0.164173715,0.437545865,-5.404164296
MTCO1P25,0.639837672,0.552975679,1.454083071,0.164216516,0.437585144,-4.809347983
PTPRVP,0.613567776,2.306881668,1.453977127,0.164245519,0.437585144,-5.105839929
PAM,0.252629114,7.478836627,1.453927997,0.16425897,4.38E-01,-5.50E+00
FNBP4,0.209420821,6.349042134,1.453681359,0.16432651,0.437639814,-5.578987766
RP11-157L3.11,0.621146493,1.475365151,1.453104604,0.164484538,0.43799802,-4.96278423
ZMYND12,0.712462857,1.352483357,1.452236804,0.164722546,4.38E-01,-4.94E+00
GSN,0.247424341,8.916490808,1.452207965,0.164730461,0.438402039,-5.388866057
CCSER1,0.239136084,4.015853225,1.452091506,0.164762425,4.38E-01,-5.45E+00
DMBX1,0.707415891,0.298666249,1.451817815,0.164837562,4.39E-01,-4.77E+00
BBX,0.176965231,6.81819303,1.451401608,0.16495188,0.438620723,-5.554533634
GJD4,0.540979483,1.255081177,1.450785892,0.165121115,4.39E-01,-4.93E+00
CASP14,0.498108896,2.130593078,1.449986402,0.165341074,4.39E-01,-5.08E+00
CCDC17,0.95357311,4.373550387,1.449853726,0.165377599,0.439370542,-5.5079252
GNGT1,0.765211497,0.347303144,1.449548752,0.165461584,4.39E-01,-4.78E+00
NF1,0.172140554,7.476534992,1.449131487,0.165576548,4.40E-01,-5.51E+00
MAP1LC3B,0.280264923,5.89209326,1.449125233,0.165578271,0.439559013,-5.599020018
CASP8,0.177843666,5.496740615,1.449081913,0.165590211,0.439559013,-5.597546516
BICD1,0.234908933,4.453314489,1.448591223,0.165725497,0.439814,-5.520417341
MYPOP,0.382069833,1.512678151,1.448527556,0.165743057,4.40E-01,-4.97E+00
TBC1D3P5,0.851813926,1.467317975,1.448332941,0.165796744,4.40E-01,-4.97E+00
GOLGA8N,0.163678451,4.858770638,1.448322049,0.165799749,0.439814,-5.564762168
ENTPD4,0.180001988,6.137915462,1.448125818,0.165853897,4.40E-01,-5.59E+00
LPAR3,0.500519281,3.069189541,1.448052699,0.165874077,0.439873477,-5.264116299
CSGALNACT2,0.312817056,5.7302535,1.447177701,0.166115723,0.440057598,-5.602734094
RPS2P44,0.460038471,0.965627673,1.447013029,0.166161232,4.40E-01,-4.88E+00
TPTE,1.124181913,-0.455483529,1.446914881,0.166188361,0.440075203,-4.682613979
ROBO3,0.397347582,3.212563647,1.446835946,0.166210182,0.440075203,-5.29571254
NCS1,0.518957418,3.850038535,1.446593617,0.166277188,4.40E-01,-5.43E+00
PNLDC1,0.955403168,-0.365136289,1.446197839,0.166386671,0.440193838,-4.694223908
WBSCR27,0.836055426,1.253235611,1.446138384,0.166403123,0.440193838,-4.933383911
EXTL1,0.631620283,0.415599825,1.445962248,0.16645187,4.40E-01,-4.80E+00
DLK2,0.505740028,1.221481294,1.445840399,0.166485599,0.440238902,-4.928323658
AC069542.1,0.915576925,-0.277802766,1.445697592,0.166525137,0.440238902,-4.705470221
LCN15,0.340188477,3.569265203,1.445672295,0.166532142,0.440238902,-5.371345718
LGI4,0.563248341,2.039451912,1.4455499,0.166566036,0.440265983,-5.069018179
LARGE2,0.428512468,2.184967014,1.445296974,0.166636095,4.40E-01,-5.09E+00
MROH9,0.933400871,2.145368788,1.445256164,0.166647401,4.40E-01,-5.09E+00
CMAHP,0.402377105,6.135286738,1.444911456,0.166742927,0.440545888,-5.599070329
NAT1,0.527856035,2.945365008,1.444477701,0.166863194,4.41E-01,-5.24E+00
TMEM232,0.865919086,3.61764877,1.444264266,0.166922399,0.440769841,-5.382954323
CAMK2B,0.759535286,1.106349982,1.443795752,0.167052421,0.441050612,-4.911231062
CLEC17A,0.636971998,1.151367717,1.443382913,0.167167061,4.41E-01,-4.92E+00
DGCR5,0.452374817,2.578222932,1.443080997,0.167250939,4.41E-01,-5.17E+00
