,log2FoldChange,AveExpr,t,pvalue,padj,B
COMMD3-BMI1,-0.044002423,2.398144532,-0.110156067,0.913581249,9.61E-01,-6.12E+00
NFATC2IP,-0.013827687,5.232117231,-0.110179451,0.913562982,0.960605115,-6.610786558
PDP1,-0.022888267,5.213521151,-0.110358411,0.913423188,9.61E-01,-6.61E+00
SNAPC3,-0.016837842,5.28115086,-0.110418846,0.91337598,9.61E-01,-6.61E+00
CASP9,-0.017307772,3.981729724,-0.110694327,0.913160795,9.61E-01,-6.46E+00
DLEU7,-0.031153256,0.939359612,-0.111110153,0.912835998,0.960510679,-5.825670979
SLC25A21,-0.021309894,2.224862681,-0.111152044,0.912803278,9.61E-01,-6.08E+00
SNW1,-0.017533473,5.437367835,-0.111615359,0.912441408,9.60E-01,-6.62E+00
PEBP1P3,-0.052063126,0.139304212,-0.112436225,0.911800323,0.959692136,-5.671177261
EIF4EP1,-0.039778589,0.951989542,-0.112747232,0.911557446,0.959490751,-5.828048691
PRMT9,-0.023522114,4.13901462,-0.113292023,0.911132022,9.59E-01,-6.49E+00
AQR,-0.0163166,6.328870421,-0.113336044,0.911097648,0.95925991,-6.608007711
CDKN3,-0.059457464,0.631489956,-0.113980856,0.910594156,9.59E-01,-5.76E+00
EXTL2,-0.019777658,3.855645209,-0.114820258,0.909938781,9.59E-01,-6.44E+00
COX19,-0.016444797,3.790930295,-0.11495023,0.909837309,9.59E-01,-6.42E+00
CNOT10,-0.014067978,4.864061164,-0.115160093,0.909673469,0.958641451,-6.585027183
TRIL,-0.049008741,2.709637858,-0.115520687,0.909391962,0.958527286,-6.185257125
RP11-1070B7.1,-0.182891255,1.290201002,-0.116095533,0.908943219,9.58E-01,-5.90E+00
RIOK3,-0.019516381,6.068963294,-0.116207317,0.908855961,0.958149163,-6.617477366
KIF1BP,-0.013828768,4.75518751,-0.116218577,0.908847172,0.958149163,-6.574639769
RNPS1,-0.013977904,5.970356693,-0.116482614,0.90864107,0.958046112,-6.619793082
ERAP1,-0.020144194,6.745137142,-0.116987617,0.908246894,9.58E-01,-6.58E+00
SF3B1,-0.017878719,8.608814992,-0.117011427,0.90822831,9.58E-01,-6.43E+00
NPM1P40,-0.077522494,3.054112637,-0.117068241,0.908183966,0.957956044,-6.261800631
POM121,-0.019792948,5.388222681,-0.117194445,0.908085463,9.58E-01,-6.62E+00
PI4K2A,-0.022013351,5.362643747,-0.117253292,0.908039533,9.58E-01,-6.62E+00
RGS6,-0.058701319,2.054919232,-0.117318503,0.907988637,9.58E-01,-6.05E+00
MTF2,-0.016245548,4.990125815,-0.119077086,0.906616239,9.57E-01,-6.59E+00
