"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"162","ABLIM1",2.962847624,5.495119452,3.260937674,0.010039913,0.248028673,-2.459301367
"163","KCTD10",2.997005266,5.21513649,3.260614042,0.010045063,0.248028673,-2.454640722
"164","EIF2B5",3.268558103,4.294275876,3.25600983,0.010118624,0.248028673,-2.431760356
"165","TRPC4AP",3.083477541,4.626771138,3.253304662,0.010162105,0.248028673,-2.44434171
"166","PCDH1",3.972049985,4.665922737,3.251591995,0.010189734,0.248028673,-2.448062397
"167","SPRED1",4.145271934,3.090794287,3.251464322,0.010191796,0.248028673,-2.430298933
"168","RGS3",3.069355375,4.726938965,3.248438126,0.010240817,0.248028673,-2.454641671
"169","FAM160B2",4.219623237,3.13292355,3.243974671,0.010313567,0.248970909,-2.440475658
"170","ENTPD6",4.169215732,3.095678579,3.242272783,0.010341447,0.248970909,-2.442719179
"171","ASB1",4.143159079,3.086208461,3.242142408,0.010343586,0.248970909,-2.442881519
"172","ADCY6",4.147621411,3.09519537,3.237881397,0.01041375,0.249243599,-2.448652988
"173","ENO2",4.387528651,4.570005455,3.236166407,0.010442129,0.249453052,-2.466707023
"174","FARP1",3.143212201,4.545408399,3.23429839,0.010473133,0.249724282,-2.468570845
"175","ZNF451",4.226260389,3.118078813,3.22783029,0.010581224,0.2508895,-2.462287548
"176","PQLC1",4.277461789,3.163460477,3.215566232,0.010789369,0.253938636,-2.478997535
"177","DAPK3",4.675956374,3.978898053,3.212094778,0.010849055,0.254862558,-2.487711315
"178","CTDSP2",2.894225467,5.97457879,3.208387763,0.010913171,0.255107259,-2.536641271
"179","GRB10",3.029924953,5.262248083,3.208012068,0.010919691,0.255107259,-2.53210326
"180","ADAMTS2",4.093270781,3.062860402,3.199478644,0.011068875,0.258118044,-2.500565602
"181","GJA4",3.379031486,4.779086383,3.198153963,0.011092223,0.258188753,-2.528127478
"182","SEMA4C",2.994468793,4.696608422,3.194427252,0.011158181,0.258716391,-2.530253164
"183","EIF4E2",4.076231318,3.057395342,3.193433626,0.011175836,0.258716391,-2.508746307
"184","CC2D1B",4.101120789,3.064456631,3.190585052,0.01122661,0.258716391,-2.512627337
"185","XRCC6",2.678687057,6.680357423,3.187472573,0.011282362,0.258822264,-2.577386981
"186","SH3PXD2B",4.113650487,3.068459916,3.180853402,0.011401884,0.260426918,-2.525843037
